(Old/New) Family #,Family Name,Looked at?,Relevant?,Use For Inapprox?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Author Names,Paper Title,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Specificity of Runtime,Time Complexity (Worst Only),Time Encoding,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),"Approx Error ""Size"" (for figures only)",Approximation Factor Class (Mult),Approximation Factor Class (Add),Approximation Type (additive/multiplicative),Parametrized Approximation?,Type of PTAS (if PTAS),Description of Approximation,Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,0.001,1,0,Sorting with incomplete relative order information,,,,1,0,O(1)?,,,[https://epubs.siam.org/doi/abs/10.1137/0401028  (1988)],,"Alon, Azar","Sorting, Approximate Sorting, and Searching in Rounds",1988,https://epubs.siam.org/doi/abs/10.1137/0401028,,,,,,1,n: 1,3,O(1)?,,n: size of list,n,,,Word RAM,words,#VALUE!,,,,,,,0,,1?,,,,,,,,,0,1,O(n log n log log n)?,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,1,1,0,Approximate Sorting,,,,1,0,O(n log eps),,,[https://link.springer.com/chapter/10.1007/11682462_49  (2006)],,"Giesen, Schuberth, Stojakovic",Approximate Sorting,2006,https://link.springer.com/chapter/10.1007/11682462_49,,,,,,3,n: 3,3,O(n log eps),10,"n: size of list
eps: approximation parameter",n,https://link.springer.com/chapter/10.1007/11682462_49,0,Word RAM,words,#VALUE!,,,,,,,0,,1,O(n^2/eps),4,0,6.99,additive,yes,n/a,"Distance away from sorted, under Spearman's footrule metric",0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,0.001,1,0,Sorting with Noise/Costs,,,,1,0,,,,[https://link.springer.com/chapter/10.1007/978-3-642-40602-7_15  (2013)],,"Busse, Chehreghani, Buhmann",Approximate Sorting,2013,https://link.springer.com/chapter/10.1007/978-3-642-40602-7_15,,,,,,,,,,,n: size of list,n,,,Word RAM,words,#VALUE!,,,,,,,0,,1?,,,,,,,,,0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,0.001,1,0,Approximate Sorting,,,,1,0,,,,[https://www.atlantis-press.com/proceedings/csic-15/24926  (2015)],,"Xiao, Chen, Sun",High Performance Approximate Sort Algorithm Using GPUs,2015,https://www.atlantis-press.com/proceedings/csic-15/24926,,,,,,,,,,,"n: size of list
eps: approximation parameter",n,,,Word RAM,words,#VALUE!,,,,,,,0,,1,,,,,,,,,0,0,,0,1,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,1,1,0,Approximate Sorting,,,,1,0,O(mn),,,[https://link.springer.com/article/10.1007/s10878-015-9930-6  (2015)],,"Farnoud, Yaakobi, Bruck",Approximate sorting of data streams with limited storage,2015,https://link.springer.com/article/10.1007/s10878-015-9930-6,,,,,,3,n: 3,3,O(mn),10,"n: size of list
m: size of additional memory",n,,1,Word RAM,words,#VALUE!,,O(m),https://link.springer.com/article/10.1007/s10878-015-9930-6,0,1,,0,,1,O(n/m),4,0,6,additive,no?,n/a,"Distance away from sorted, under Kendall tau distortion",0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,0.001,1,0,Approximate Sorting,,,,1,0,,,,[https://link.springer.com/chapter/10.1007/978-3-031-22105-7_7  (2022)],,"Gao, Li",Analysis of Approximate Sorting in I/O Model,2022,https://link.springer.com/chapter/10.1007/978-3-031-22105-7_7,,,,,,,,,,,"n: size of list
eps: approximation parameter",n,,,Word RAM,words,#VALUE!,,,,,,,0,,1,,,,,,,,,0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,4,,,Combinatorics
2,kth Order Statistic,0.001,1,0,Approximate kth Order Statistic,,,,1,0,,,,[https://www.sciencedirect.com/science/article/pii/0304397580900614 Munro-Patterson Algorithm (1980)],Munro-Patterson Algorithm,"Munro, Patterson",Selection and sorting with limited storage,1980,https://www.sciencedirect.com/science/article/pii/0304397580900614,,,,,,,,,,,"n: size of list
eps: approximation parameter",n,,,Word RAM,words,#VALUE!,,O(log^2(n*eps)/eps),https://dl.acm.org/doi/abs/10.1145/276305.276342,0,0,,0,,1,eps,1,0,1.99,additive,yes,n/a,"difference between desired order and the order of the outputted value, divided by n",0,0,,0,0,https://dl.acm.org/doi/abs/10.1145/276305.276342,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,,,,,,,5,,,Combinatorics
2,kth Order Statistic,0.001,1,0,Approximate kth Order Statistic,,,,1,0,,,,[https://surface.syr.edu/lcsmith_other/4/  (1997)],,"Alsabti, Ranka, Singh",A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,1997,https://surface.syr.edu/lcsmith_other/4/,,,,,,,,,,,"n: size of list
eps: approximation parameter",n,,,Word RAM,words,#VALUE!,,O(sqrt(n/eps)),https://dl.acm.org/doi/abs/10.1145/276305.276342,0,0?,,0,,1,eps,1,0,1.99,additive,yes,n/a,"difference between desired order and the order of the outputted value, divided by n",0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,,,,,,,5,,,Combinatorics
2,kth Order Statistic,0.001,1,0,Approximate kth Order Statistic,,,,1,0,,,,[https://dl.acm.org/doi/abs/10.1145/276305.276342  (1998)],,"Manku, Rajagopalan, Lindsay",Approximate medians and other quantiles in one pass and with limited memory,1998,https://dl.acm.org/doi/abs/10.1145/276305.276342,,,,,,,,,,,"n: size of list
eps: approximation parameter",n,,,Word RAM,words,#VALUE!,,O(log^2(n*eps)/eps),https://dl.acm.org/doi/abs/10.1145/276305.276342,0,1,,0,,1,eps,1,0,1.99,additive,yes,n/a,"difference between desired order and the order of the outputted value, divided by n",0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,,,,,,,5,,,Combinatorics
2,kth Order Statistic,0.001,1,0,Approximate kth Order Statistic,,,,1,0,,,,[https://dl.acm.org/doi/abs/10.1145/276305.276342  (1998)],,"Manku, Rajagopalan, Lindsay",Approximate medians and other quantiles in one pass and with limited memory,1998,https://dl.acm.org/doi/abs/10.1145/276305.276342,,,,,,,,,,,"n: size of list
eps: approximation parameter
delta: error probability",n,,,Word RAM,words,#VALUE!,,O(log^2(1/eps * log(1/delta))/eps),https://dl.acm.org/doi/abs/10.1145/276305.276342,0,1,,1,Monte Carlo,1,eps,1,0,1.99,additive,yes,n/a,"difference between desired order and the order of the outputted value, divided by n",0,0,,0,0,,the kth order statistic of a statistical sample is equal to its kth-smallest value.,,,,,,,,,,,,,,,,,,,5,,,Combinatorics
