Problem Family,Problem Variation,Relevant?,Year of creation,"Type of Bound 
(trivial - obvious, full - has been proved and published, 
none - no bound, -- is an extra resource and not a bound )",Restricted Version?,Transition Class,Reduction Type,Run Time Lower Bound,Time Complexity Class,Exact Inapprox. Ratio,Parameter,"""Rounded"" Inapprox Ratio",Approximation Factor Class (Mult),Fixed Parameters,Lower Bound (input-based),Model of Computation,Link,Year,Key / Authors,Paper,"Randomized? (N = No, Y = Yes)","Conditional? (N = No, Y = Yes)",Conditional conjecture,Derived by:,Caveats/Notes
The Set-Covering Problem,Unweighted Set-Covering,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{4}-\epsilon)\log_2 n$,any epsilon>0,$0.361\ln n$,6,,,,https://doi.org/10.1145%2F185675.306789,1994,CARSTEN LUND AND MIHALIS YANNAKAKIS ,On the Hardness of Approximating Minimization Problems ,N,Y,NP not in QP or DTIME(2^{poly \log n})$,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{2}-\eps)\log_2 n$,any epsilon>0,$0.721\ln n$,6,,,,https://doi.org/10.1145%2F185675.306789,1994,CARSTEN LUND AND MIHALIS YANNAKAKIS ,On the Hardness of Approximating Minimization Problems ,N,Y,NP not in ZTIME(2^{poly \log n})$ where ZTIME is the class of problems with zero sided error,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - o(1)) \ln n$,,$\ln n$,6,,,,https://dl.acm.org/doi/10.1145/285055.285059,1998,URIEL FEIGE,A Threshold of ln n for Approximating Set Cover,N,Y,NP not solvable in n^(O(\log \log n)}$,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - o(1)) \n n$,,$\ln n$,6,,,,https://link.springer.com/chapter/10.1007/978-3-642-32512-0_24,2012,Dana Moshkovitz ,The Projection Games Conjecture and the NP-Hardness of ln n-Approximating Set-Cover,N,Y,Projection Games Conjecture and P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$c \ln n$,fixed c?,?,6,,,,https://dl.acm.org/doi/10.1145/258533.258641,1997,Ran Raz and Shmuel Safra,"A sub-constant error-probability low-degree test, and a sub-constant error-probability PCP characterization of NP",N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - \epsilon) \ln n$,any epsilon>0,$\ln n$,6,,,RAM,https://www.dsteurer.org/paper/productgames.pdf,2013,Irit Dinur and David Steurer,Analytical Approach to Parallel Repetition,N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$c$,any c>0,$1000000$,4,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{8}-\epsilon)\log_2 n$,any epsilon>0,$0.180\ln n$,6,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NP not in DTIME(n^(log log n)),,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$f-1-\epsilon$,any epsilon>0,$f-1$,6,$f$: maximum number of times an element appears in a set,,RAM,https://dl.acm.org/doi/10.1145/780542.780629,2003,"Irit Dinur, Venkatesan Guruswami, Subhash Khot, Oded Regev",A new multilayered PCP and the hardness of hypergraph vertex cover,N,Y,P not equal NP,,"(shown for a problem called ""Ek-Vertex-Cover"" which is similar to set cover)"
